No    	Word                	Translate           	Count 	Freq 	Cum_Freq
1142  	all_word            	翻译                  	3244  	100% 	 100%
__________________________________________________________________________________________
1     	the                 	                    	190   	5.8570%	5.8570%
2     	to                  	                    	116   	3.5758%	9.4328%
3     	of                  	                    	91    	2.8052%	12.2380%
4     	and                 	                    	80    	2.4661%	14.7041%
5     	in                  	                    	66    	2.0345%	16.7386%
6     	is                  	                    	41    	1.2639%	18.0025%
7     	that                	                    	37    	1.1406%	19.1430%
8     	on                  	                    	35    	1.0789%	20.2219%
9     	grass-fed           	                    	34    	1.0481%	21.2700%
10    	they                	                    	33    	1.0173%	22.2873%
11    	for                 	                    	31    	0.9556%	23.2429%
12    	their               	                    	31    	0.9556%	24.1985%
13    	are                 	                    	30    	0.9248%	25.1233%
14    	with                	                    	23    	0.7090%	25.8323%
15    	from                	                    	21    	0.6473%	26.4797%
16    	as                  	                    	21    	0.6473%	27.1270%
17    	be                  	                    	21    	0.6473%	27.7744%
18    	can                 	                    	18    	0.5549%	28.3292%
19    	antarctic           	                    	18    	0.5549%	28.8841%
20    	this                	                    	17    	0.5240%	29.4081%
21    	more                	                    	17    	0.5240%	29.9322%
22    	have                	                    	17    	0.5240%	30.4562%
23    	students            	                    	16    	0.4932%	30.9494%
24    	you                 	                    	15    	0.4624%	31.4118%
25    	king                	                    	15    	0.4624%	31.8742%
26    	penguins            	                    	15    	0.4624%	32.3366%
27    	it                  	                    	14    	0.4316%	32.7682%
28    	what                	                    	14    	0.4316%	33.1998%
29    	them                	                    	14    	0.4316%	33.6313%
30    	will                	                    	14    	0.4316%	34.0629%
31    	but                 	                    	13    	0.4007%	34.4636%
32    	by                  	                    	13    	0.4007%	34.8644%
33    	new                 	                    	13    	0.4007%	35.2651%
34    	at                  	                    	12    	0.3699%	35.6350%
35    	passage             	                    	12    	0.3699%	36.0049%
36    	not                 	                    	11    	0.3391%	36.3440%
37    	we                  	                    	11    	0.3391%	36.6831%
38    	he                  	                    	11    	0.3391%	37.0222%
39    	one                 	                    	10    	0.3083%	37.3305%
40    	joseph              	                    	10    	0.3083%	37.6387%
41    	farmers             	                    	10    	0.3083%	37.9470%
42    	breeding            	                    	10    	0.3083%	38.2552%
43    	an                  	                    	9     	0.2774%	38.5327%
44    	than                	                    	9     	0.2774%	38.8101%
45    	each                	                    	9     	0.2774%	39.0875%
46    	do                  	                    	9     	0.2774%	39.3650%
47    	when                	                    	9     	0.2774%	39.6424%
48    	his                 	                    	9     	0.2774%	39.9199%
49    	has                 	                    	9     	0.2774%	40.1973%
50    	many                	                    	9     	0.2774%	40.4747%
51    	schools             	                    	9     	0.2774%	40.7522%
52    	grounds             	                    	9     	0.2774%	41.0296%
53    	part                	                    	8     	0.2466%	41.2762%
54    	should              	                    	8     	0.2466%	41.5228%
55    	only                	                    	8     	0.2466%	41.7694%
56    	there               	                    	7     	0.2158%	41.9852%
57    	may                 	                    	7     	0.2158%	42.2010%
58    	were                	                    	7     	0.2158%	42.4168%
59    	other               	                    	7     	0.2158%	42.6326%
60    	products            	                    	7     	0.2158%	42.8483%
61    	all                 	                    	7     	0.2158%	43.0641%
62    	milk                	                    	7     	0.2158%	43.2799%
63    	help                	                    	7     	0.2158%	43.4957%
64    	conventional        	                    	7     	0.2158%	43.7115%
65    	dairy               	                    	7     	0.2158%	43.9273%
66    	price               	                    	7     	0.2158%	44.1430%
67    	could               	                    	7     	0.2158%	44.3588%
68    	or                  	                    	7     	0.2158%	44.5746%
69    	bison               	                    	7     	0.2158%	44.7904%
70    	trips               	                    	7     	0.2158%	45.0062%
71    	change              	                    	7     	0.2158%	45.2219%
72    	minutes             	                    	6     	0.1850%	45.4069%
73    	no                  	                    	6     	0.1850%	45.5919%
74    	section             	                    	6     	0.1850%	45.7768%
75    	answer              	                    	6     	0.1850%	45.9618%
76    	people              	                    	6     	0.1850%	46.1467%
77    	human               	                    	6     	0.1850%	46.3317%
78    	see                 	                    	6     	0.1850%	46.5166%
79    	study               	                    	6     	0.1850%	46.7016%
80    	found               	                    	6     	0.1850%	46.8866%
81    	its                 	                    	6     	0.1850%	47.0715%
82    	like                	                    	6     	0.1850%	47.2565%
83    	going               	                    	6     	0.1850%	47.4414%
84    	farmer              	                    	6     	0.1850%	47.6264%
85    	maple               	                    	6     	0.1850%	47.8113%
86    	market              	                    	6     	0.1850%	47.9963%
87    	beef                	                    	6     	0.1850%	48.1813%
88    	climate             	                    	6     	0.1850%	48.3662%
89    	out                 	                    	6     	0.1850%	48.5512%
90    	says                	                    	6     	0.1850%	48.7361%
91    	some                	                    	6     	0.1850%	48.9211%
92    	does                	                    	6     	0.1850%	49.1060%
93    	children            	                    	6     	0.1850%	49.2910%
94    	species             	                    	6     	0.1850%	49.4760%
95    	krill               	                    	6     	0.1850%	49.6609%
96    	directions          	                    	5     	0.1541%	49.8150%
97    	community           	                    	5     	0.1541%	49.9692%
98    	through             	                    	5     	0.1541%	50.1233%
99    	your                	                    	5     	0.1541%	50.2774%
100   	letter              	                    	5     	0.1541%	50.4316%
101   	questions           	                    	5     	0.1541%	50.5857%
102   	was                 	                    	5     	0.1541%	50.7398%
103   	who                 	                    	5     	0.1541%	50.8940%
104   	if                  	                    	5     	0.1541%	51.0481%
105   	according           	                    	5     	0.1541%	51.2022%
106   	which               	                    	5     	0.1541%	51.3564%
107   	farming             	                    	5     	0.1541%	51.5105%
108   	tim                 	                    	5     	0.1541%	51.6646%
109   	higher              	                    	5     	0.1541%	51.8187%
110   	hill                	                    	5     	0.1541%	51.9729%
111   	supply              	                    	5     	0.1541%	52.1270%
112   	over                	                    	5     	0.1541%	52.2811%
113   	farms               	                    	5     	0.1541%	52.4353%
114   	up                  	                    	5     	0.1541%	52.5894%
115   	feed                	                    	5     	0.1541%	52.7435%
116   	global              	                    	5     	0.1541%	52.8977%
117   	smith               	                    	5     	0.1541%	53.0518%
118   	parents             	                    	5     	0.1541%	53.2059%
119   	school              	                    	5     	0.1541%	53.3600%
120   	about               	                    	5     	0.1541%	53.5142%
121   	want                	                    	5     	0.1541%	53.6683%
122   	ocean               	                    	5     	0.1541%	53.8224%
123   	marine              	                    	5     	0.1541%	53.9766%
124   	food                	                    	5     	0.1541%	54.1307%
125   	following           	                    	4     	0.1233%	54.2540%
126   	sheet               	                    	4     	0.1233%	54.3773%
127   	line                	                    	4     	0.1233%	54.5006%
128   	phone               	                    	4     	0.1233%	54.6239%
129   	even                	                    	4     	0.1233%	54.7472%
130   	certain             	                    	4     	0.1233%	54.8705%
131   	because             	                    	4     	0.1233%	54.9938%
132   	had                 	                    	4     	0.1233%	55.1171%
133   	report              	                    	4     	0.1233%	55.2404%
134   	own                 	                    	4     	0.1233%	55.3637%
135   	best                	                    	4     	0.1233%	55.4871%
136   	separate            	                    	4     	0.1233%	55.6104%
137   	though              	                    	4     	0.1233%	55.7337%
138   	grass               	                    	4     	0.1233%	55.8570%
139   	organic             	                    	4     	0.1233%	55.9803%
140   	yogurt              	                    	4     	0.1233%	56.1036%
141   	company             	                    	4     	0.1233%	56.2269%
142   	demand              	                    	4     	0.1233%	56.3502%
143   	last                	                    	4     	0.1233%	56.4735%
144   	just                	                    	4     	0.1233%	56.5968%
145   	since               	                    	4     	0.1233%	56.7201%
146   	farm                	                    	4     	0.1233%	56.8434%
147   	chain               	                    	4     	0.1233%	56.9667%
148   	convert             	                    	4     	0.1233%	57.0900%
149   	water               	                    	4     	0.1233%	57.2133%
150   	meat                	                    	4     	0.1233%	57.3366%
151   	fed                 	                    	4     	0.1233%	57.4599%
152   	re                  	                    	4     	0.1233%	57.5832%
153   	well                	                    	4     	0.1233%	57.7065%
154   	cost                	                    	4     	0.1233%	57.8298%
155   	epic                	                    	4     	0.1233%	57.9531%
156   	collins             	                    	4     	0.1233%	58.0764%
157   	into                	                    	4     	0.1233%	58.1998%
158   	society             	                    	4     	0.1233%	58.3231%
159   	pupils              	                    	4     	0.1233%	58.4464%
160   	world               	                    	4     	0.1233%	58.5697%
161   	disadvantaged       	                    	4     	0.1233%	58.6930%
162   	such                	                    	4     	0.1233%	58.8163%
163   	author              	                    	4     	0.1233%	58.9396%
164   	don                 	                    	4     	0.1233%	59.0629%
165   	find                	                    	4     	0.1233%	59.1862%
166   	waters              	                    	4     	0.1233%	59.3095%
167   	penguin             	                    	4     	0.1233%	59.4328%
168   	whales              	                    	4     	0.1233%	59.5561%
169   	ecosystems          	                    	4     	0.1233%	59.6794%
170   	islands             	                    	4     	0.1233%	59.8027%
171   	southern            	                    	4     	0.1233%	59.9260%
172   	sea                 	                    	4     	0.1233%	60.0493%
173   	write               	                    	3     	0.0925%	60.1418%
174   	least               	                    	3     	0.0925%	60.2343%
175   	words               	                    	3     	0.0925%	60.3268%
176   	choices             	                    	3     	0.0925%	60.4192%
177   	given               	                    	3     	0.0925%	60.5117%
178   	bank                	                    	3     	0.0925%	60.6042%
179   	corresponding       	                    	3     	0.0925%	60.6967%
